Month Name,Agency,Description,Borough,# of Incidents,Response Times
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2519,750.61
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,454,30.18
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,454,65.64
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,454,3.30
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,454,0.88
2025 / 02,FDNY,Average response time to structural fires,Manhattan,218,313.67
2025 / 02,FDNY,Average response time to non-structural fires,Manhattan,266,737.34
2025 / 02,FDNY,Average response time to non-fire emergencies,Manhattan,5399,657.18
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2365,620.74
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,484,35.95
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,484,59.92
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,484,3.10
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,484,1.03
2025 / 02,FDNY,Average response time to structural fires,Queens,195,318.88
2025 / 02,FDNY,Average response time to non-structural fires,Queens,320,432.00
2025 / 02,FDNY,Average response time to non-fire emergencies,Queens,5009,639.58
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2556,569.45
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,515,30.10
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,515,64.27
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,515,4.47
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,515,1.17
2025 / 02,FDNY,Average response time to structural fires,Staten Island,39,303.82
2025 / 02,FDNY,Average response time to non-structural fires,Staten Island,17,339.59
2025 / 02,FDNY,Average response time to non-fire emergencies,Staten Island,1336,572.22
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,767,505.42
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,56,48.21
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,56,50.00
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,56,1.79
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,56,0.00
2025 / 02,FDNY,Average response time to structural fires,Unspecified,2,498.50
2025 / 02,FDNY,Average response time to non-fire emergencies,Unspecified,33,874.39
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,9,643.11
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,2,50.00
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,2,0.00
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,2,50.00
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,2,0.00
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,14592,601.53
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,12405,873.22
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,10888,654.27
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,10413,620.68
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2478,548.46
2025 / 01,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,47,745.88
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,705,554.81
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,13785,647.31
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,28566,946.92
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6269,45.70
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,462,655.02
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10896,873.96
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24541,1619.23
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,3704,22.95
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,475,512.74
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,9958,674.91
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,22131,1061.35
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,5201,47.68
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,569,576.36
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,9645,670.11
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,21076,889.18
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,3728,38.63
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,135,543.01
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2353,603.05
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4562,729.23
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1261,51.70
2025 / 01,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,1180.50
2025 / 01,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,34,789.15
2025 / 01,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,112,1409.06
2025 / 01,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,11,18.18
2025 / 01,FDNY,Average response time to structural fires,Brooklyn,379,275.01
2025 / 01,FDNY,Average response time to non-structural fires,Brooklyn,484,390.81
2025 / 01,FDNY,Average response time to non-fire emergencies,Brooklyn,8770,591.39
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4363,555.62
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,863,51.68
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,863,46.35
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,863,1.04
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,863,0.93
2025 / 01,FDNY,Average response time to structural fires,Bronx,320,323.99
2025 / 01,FDNY,Average response time to non-structural fires,Bronx,172,428.27
2025 / 01,FDNY,Average response time to non-fire emergencies,Bronx,6967,847.41
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,3036,750.18
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,492,31.91
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,492,64.43
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,492,3.46
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,492,0.20
2025 / 01,FDNY,Average response time to structural fires,Manhattan,252,301.79
2025 / 01,FDNY,Average response time to non-structural fires,Manhattan,209,383.40
2025 / 01,FDNY,Average response time to non-fire emergencies,Manhattan,6059,630.02
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2567,606.47
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,461,44.25
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,461,52.49
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,461,2.82
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,461,0.43
2025 / 01,FDNY,Average response time to structural fires,Queens,201,315.02
2025 / 01,FDNY,Average response time to non-structural fires,Queens,200,412.79
2025 / 01,FDNY,Average response time to non-fire emergencies,Queens,5790,637.10
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,3076,568.11
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,401,37.16
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,401,59.10
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,401,2.99
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,401,0.75
2025 / 01,FDNY,Average response time to structural fires,Staten Island,42,315.31
2025 / 01,FDNY,Average response time to non-structural fires,Staten Island,27,380.15
2025 / 01,FDNY,Average response time to non-fire emergencies,Staten Island,1468,565.37
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,824,507.62
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,69,39.13
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,69,59.42
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,69,1.45
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,69,0.00
2025 / 01,FDNY,Average response time to non-structural fires,Unspecified,3,347.67
2025 / 01,FDNY,Average response time to non-fire emergencies,Unspecified,38,849.61
2025 / 01,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,5,1595.60
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,3,0.00
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,3,100.00
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,3,0.00
2025 / 01,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,3,0.00
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13633,581.21
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11965,815.08
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11105,671.11
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,10330,605.67
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2517,541.06
2024 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,56,753.19
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,639,514.39
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12688,622.37
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,27113,882.41
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,5641,50.08
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,473,643.34
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10334,827.00
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,23883,1440.11
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,3317,26.20
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,424,542.08
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10021,707.39
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,22179,1137.26
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,4864,44.76
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,481,560.67
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,9370,648.98
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20878,847.28
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,3229,40.51
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,129,558.92
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2356,592.58
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4676,719.67
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1206,54.64
2024 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,3,664.33
2024 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,43,766.00
2024 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,141,1082.74
2024 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,12,16.67
2024 / 12,FDNY,Average response time to structural fires,Brooklyn,379,288.57
2024 / 12,FDNY,Average response time to non-structural fires,Brooklyn,224,329.70
2024 / 12,FDNY,Average response time to non-fire emergencies,Brooklyn,8493,567.74
2024 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4218,529.00
2024 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,603,60.36
2024 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,603,38.31
2024 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,603,1.00
